Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
CBL,,,92000.0,10.0,92000.0,20,100.0,91000.0,100,95000.0,3.0,95000.0,3,100.0,91000.0,100,88000.0,3.0,91000.0,3,,,0,91100.0,1.0,94600.0,86,122.0,91100.0,372,43652.0703125,5.0,92000.0,5,,,0,91000.0,2.0,97000.0,286,100.0,91000.0,100
CBM,63000.0,,70000.0,50.0,72000.0,50,10.0,66000.0,140,66776.7578125,,,0,100.0,63000.0,100,29521.830078125,,,0,,,0,63000.0,2.0,70000.0,2,100.0,63000.0,100,29521.830078125,5.0,69900.0,5,,,0,63000.0,,,0,100.0,63000.0,100
CBS,,,42000.0,18.0,44000.0,53,100.0,42000.0,100,42154.2109375,21.0,43000.0,21,100.0,42000.0,100,17911.099609375,5.0,50000.0,5,,,0,42000.0,55.0,43000.0,55,100.0,42000.0,100,17911.099609375,10.0,43000.0,10,,,0,42000.0,5.0,43800.0,5,100.0,42000.0,100
CBU,,,380000.0,22.0,390000.0,75,10.0,350000.0,10,390000.0,46.0,390000.0,98,,,0,173954.71875,,,0,,,0,390000.0,10.0,384000.0,107,10.0,370000.0,20,173954.71875,,,0,,,0,380000.0,30.0,390000.0,95,20.0,360000.0,20
CC,650000.0,,650000.0,1.0,2000000.0,1,100.0,650000.0,100,650000.0,1.0,675000.0,2,100.0,650000.0,100,330828.71875,,,0,,,0,650000.0,5.0,750000.0,5,100.0,650000.0,100,330828.71875,,,0,,,0,650000.0,,,0,100.0,650000.0,100
CCD,,,80000.0,48.0,80200.0,68,100.0,80000.0,100,80000.0,11.0,80200.0,285,100.0,80000.0,100,27557.33984375,,,0,,,0,80100.0,50.0,80200.0,448,25.0,80100.0,165,27557.33984375,,,0,,,0,80025.1796875,32.0,80100.0,42,100.0,80000.0,100
CD,,,13000.0,2.0,25000.0,32,19.0,10200.0,67,20000.0,4.0,20000.0,4,,,0,7880.33984375,,,0,,,0,13200.0,,,0,10.0,12000.0,109,7880.33984375,10.0,13200.0,10,,,0,13200.0,,,0,,,0
CF,,,6991.7900390625,85.0,7480.0,1565,29.0,6640.0,1253,7633.330078125,6.0,7890.0,170,1000.0,4710.0,1279,5000.0,,,0,,,0,7457.14013671875,376.0,7500.0,1751,1000.0,6360.0,2141,7850.0,7.0,7850.0,7,,,0,7000.0,28.0,7000.0,416,1000.0,5510.0,1120
CHA,,,30000.0,,,0,7.0,30000.0,37,45000.0,3.0,60000.0,3,,,0,20987.94921875,,,0,,,0,100000.0,26.0,100000.0,26,20.0,57000.0,22,20987.94921875,,,0,,,0,12500.0,5.0,120000.0,5,,,0
CL,,,3230.0,165.0,4240.0,17925,910.0,3230.0,6324,4045.39990234375,31.0,4050.0,22044,3.0,3600.0,3708,4000.0,126.0,4000.0,186,180.0,2300.0,180,3430.0,640.0,3900.0,19160,49.0,3430.0,7666,3000.0,59.0,4000.0,59,,,0,4224.2900390625,11.0,4350.0,8080,239.0,3110.0,2141
